             。
0	 HED	 -1	 。	 wp
7	 VOB	 6	 主从制	 n
8	 WP	 7	 ，	 wp
9	 CMP	 7	 即	 v
10	 ADV	 16	 在	 p
11	 ATT	 12	 不同	 a
12	 ATT	 14	 地位	 n
13	 RAD	 12	 的	 u
14	 ATT	 15	 人	 n
15	 POB	 10	 之间	 nd
16	 VOB	 9	 形成	 v
17	 VOB	 16	 保护	 v
18	 LAD	 20	 与	 c
19	 ADV	 20	 被	 p
20	 COO	 17	 保护	 v
21	 VOB	 20	 关系	 n
22	 WP	 6	 ，	 wp
23	 SBV	 25	 这	 r
24	 ADV	 25	 已	 d
25	 COO	 6	 成为	 v
26	 ATT	 28	 社会	 n
27	 RAD	 26	 的	 u
28	 ATT	 30	 基本	 a
29	 RAD	 28	 的	 u
30	 ATT	 33	 交易	 n
31	 LAD	 32	 和	 c
32	 COO	 30	 联络	 v
33	 VOB	 25	 方式	 n
34	 WP	 6	 。	 wp

处于较高地位的人利用他的权力、地位和影响给地位较低的人提供安全和利益；而后者通过他的依从、效忠和劳动为前者提供权力和地位基础。
0	 ATT	 5	 处于	 v
1	 ADV	 2	 较	 d
2	 ATT	 3	 高	 a
3	 VOB	 0	 地位	 n
4	 RAD	 0	 的	 u
5	 SBV	 6	 人	 n
6	 HED	 -1	 利用	 v
7	 ATT	 9	 他	 r
8	 RAD	 7	 的	 u
9	 VOB	 6	 权力	 n
10	 WP	 11	 、	 wp
11	 COO	 9	 地位	 n
12	 LAD	 13	 和	 c
13	 COO	 9	 影响	 v
14	 ADV	 20	 给	 v
15	 SBV	 17	 地位	 n
16	 ADV	 17	 较	 d
17	 ATT	 19	 低	 a
18	 RAD	 17	 的	 u
19	 POB	 14	 人	 n
20	 COO	 6	 提供	 v
21	 VOB	 20	 安全	 a
22	 LAD	 23	 和	 c
23	 COO	 21	 利益	 n
24	 WP	 6	 ；	 wp

处于较高地位的人利用他的权力、地位和影响给地位较低的人提供安全和利益；而后者通过他的依从、效忠和劳动为前者提供权力和地位基础。
0	 ADV	 1	 而	 c
1	 SBV	 13	 后者	 r
2	 ADV	 13	 通过	 p
3	 POB	 2	 他	 r
4	 RAD	 3	 的	 u
5	 ADV	 13	 依	 p
6	 POB	 5	 从	 nh
7	 WP	 8	 、	 wp
8	 COO	 6	 效忠	 n
9	 LAD	 10	 和	 c
10	 COO	 6	 劳动	 v
11	 ADV	 13	 为	 p
12	 POB	 11	 前者	 r
13	 HED	 -1	 提供	 v
14	 ATT	 17	 权力	 n
15	 LAD	 16	 和	 c
16	 COO	 14	 地位	 n
17	 VOB	 13	 基础	 n
18	 WP	 13	 。	 wp

这种依附关系在官僚体制和政党以及种族关系中也表现得淋漓尽致。
0	 ATT	 2	 这种	 r
1	 ATT	 2	 依附	 v
2	 SBV	 13	 关系	 n
3	 ADV	 13	 在	 p
4	 ATT	 5	 官僚	 n
5	 ATT	 11	 体制	 n
6	 LAD	 7	 和	 c
7	 ATT	 10	 政党	 n
8	 LAD	 9	 以及	 c
9	 COO	 7	 种族	 n
10	 COO	 5	 关系	 n
11	 POB	 3	 中	 nd
12	 ADV	 13	 也	 d
13	 HED	 -1	 表现	 v
14	 RAD	 13	 得	 u
15	 CMP	 13	 淋漓尽致	 i
16	 WP	 13	 。	 wp

在官员中，下级官员总是看重纵向联系，尽管他们在横向上与自己同样地位的人有着同样的命运，却很少发生联系。
0	 ADV	 7	 在	 p
1	 ATT	 2	 官员	 n
2	 POB	 0	 中	 nd
3	 WP	 0	 ，	 wp
4	 ATT	 5	 下级	 n
5	 SBV	 7	 官员	 n
6	 ADV	 7	 总是	 d
7	 HED	 -1	 看重	 v
8	 ADV	 9	 纵向	 n
9	 VOB	 7	 联系	 v
10	 WP	 7	 ，	 wp
11	 ADV	 22	 尽管	 c
12	 SBV	 22	 他们	 r
13	 ADV	 22	 在	 p
14	 ATT	 15	 横向	 n
15	 POB	 13	 上	 nd
16	 ADV	 22	 与	 p
17	 ATT	 19	 自己	 r
18	 ATT	 19	 同样	 b
19	 ATT	 21	 地位	 n
20	 RAD	 19	 的	 u
21	 POB	 16	 人	 n
22	 COO	 7	 有着	 v
23	 ATT	 25	 同样	 b
24	 RAD	 23	 的	 u
25	 VOB	 22	 命运	 n
26	 WP	 22	 ，	 wp
27	 ADV	 30	 却	 d
28	 ADV	 29	 很	 d
29	 ADV	 30	 少	 a
30	 COO	 22	 发生	 v
31	 VOB	 30	 联系	 v
32	 WP	 7	 。	 wp

在政党制度中，党的领袖（一般是议员）充当普通党员的保护人。
0	 ADV	 10	 在	 p
1	 ATT	 2	 政党	 n
2	 ATT	 3	 制度	 n
3	 POB	 0	 中	 nd
4	 WP	 0	 ，	 wp
5	 ATT	 7	 党	 n
6	 RAD	 5	 的	 u
7	 SBV	 10	 领袖	 n
8	 WP	 10	 （	 wp
9	 SBV	 10	 一般	 a
10	 HED	 -1	 是	 v
11	 VOB	 10	 议员	 n
12	 WP	 10	 ）	 wp
13	 COO	 10	 充当	 v
14	 ATT	 15	 普通	 a
15	 ATT	 17	 党员	 n
16	 RAD	 15	 的	 u
17	 VOB	 13	 保护人	 n
18	 WP	 10	 。	 wp

在种族关系方面，华人工商业者为泰国的政治统治者提供财力支持，而后者为前者提供政治和社会保护。
0	 ADV	 12	 在	 p
1	 ATT	 2	 种族	 n
2	 ATT	 3	 关系	 n
3	 POB	 0	 方面	 n
4	 WP	 0	 ，	 wp
5	 ATT	 6	 华人	 n
6	 SBV	 12	 工商业者	 n
7	 ADV	 12	 为	 v
8	 ATT	 11	 泰国	 ns
9	 RAD	 8	 的	 u
10	 ATT	 11	 政治	 n
11	 VOB	 7	 统治者	 n
12	 HED	 -1	 提供	 v
13	 VOB	 12	 财力	 n
14	 COO	 12	 支持	 v
15	 WP	 12	 ，	 wp
16	 ADV	 20	 而	 c
17	 SBV	 20	 后者	 r
18	 ADV	 20	 为	 p
19	 POB	 18	 前者	 r
20	 COO	 12	 提供	 v
21	 ATT	 24	 政治	 n
22	 LAD	 23	 和	 c
23	 COO	 21	 社会	 n
24	 VOB	 20	 保护	 v
25	 WP	 12	 。	 wp

这一点，在印尼和马来西亚也表现得非常明显。
0	 ATT	 2	 这	 r
1	 ATT	 2	 一	 m
2	 FOB	 9	 点	 q
3	 WP	 2	 ，	 wp
4	 ADV	 9	 在	 p
5	 POB	 4	 印尼	 ns
6	 LAD	 7	 和	 c
7	 COO	 5	 马来西亚	 ns
8	 ADV	 9	 也	 d
9	 HED	 -1	 表现	 v
10	 RAD	 9	 得	 u
11	 ADV	 12	 非常	 d
12	 CMP	 9	 明显	 a
13	 WP	 9	 。	 wp

印尼人的等级观念和等级关系都是根深蒂固的，不同等级的人甚至言谈举止方式都有所差别，在谈话中每个人都会显示出自己的社会地位或家庭地位，其间存在着严格的上下、尊卑关系。
0	 ATT	 1	 印尼	 ns
1	 ATT	 4	 人	 n
2	 RAD	 1	 的	 u
3	 ATT	 4	 等级	 n
4	 SBV	 9	 观念	 n
5	 LAD	 7	 和	 c
6	 ATT	 7	 等级	 n
7	 COO	 4	 关系	 n
8	 ADV	 9	 都	 d
9	 HED	 -1	 是	 v
10	 VOB	 9	 根深蒂固	 i
11	 RAD	 10	 的	 u
12	 WP	 9	 ，	 wp
13	 ATT	 14	 不同	 a
14	 ATT	 16	 等级	 n
15	 RAD	 14	 的	 u
16	 SBV	 21	 人	 n
17	 ADV	 18	 甚至	 d
18	 ATT	 19	 言谈举止	 i
19	 COO	 16	 方式	 n
20	 ADV	 21	 都	 d
21	 COO	 9	 有所	 v
22	 VOB	 21	 差别	 n
23	 WP	 9	 ，	 wp
24	 ADV	 31	 在	 p
25	 ATT	 26	 谈话	 v
26	 POB	 24	 中	 nd
27	 ATT	 28	 每个	 r
28	 SBV	 31	 人	 n
29	 ADV	 30	 都	 d
30	 ADV	 31	 会	 v
31	 COO	 9	 显示	 v
32	 CMP	 31	 出	 v
33	 ATT	 36	 自己	 r
34	 RAD	 33	 的	 u
35	 ATT	 36	 社会	 n
36	 VOB	 31	 地位	 n
37	 LAD	 39	 或	 c
38	 ATT	 39	 家庭	 n
39	 COO	 36	 地位	 n
40	 WP	 9	 ，	 wp
41	 ADV	 42	 其间	 nd
42	 COO	 9	 存在	 v
43	 RAD	 42	 着	 u
44	 ATT	 46	 严格	 a
45	 RAD	 44	 的	 u
46	 SBV	 49	 上下	 nd
47	 WP	 49	 、	 wp
48	 ATT	 49	 尊卑	 n
49	 VOB	 42	 关系	 n
50	 WP	 9	 。	 wp

在等级观念的基础之上显然就是服从权威的意识。
0	 ADV	 8	 在	 p
1	 ATT	 2	 等级	 n
2	 ATT	 4	 观念	 n
3	 RAD	 2	 的	 u
4	 ATT	 5	 基础	 n
5	 POB	 0	 之上	 nd
6	 ADV	 8	 显然	 a
7	 ADV	 8	 就	 d
8	 HED	 -1	 是	 v
9	 ATT	 12	 服从	 v
10	 VOB	 9	 权威	 n
11	 RAD	 9	 的	 u
12	 VOB	 8	 意识	 n
13	 WP	 8	 。	 wp

在缅甸，对权威的敬畏、对官吏的逢迎、对官位的渴求和对政治冷漠的价值观仍然很浓重。
0	 ADV	 6	 在	 p
1	 POB	 0	 缅甸	 ns
2	 WP	 0	 ，	 wp
3	 ADV	 6	 对	 p
4	 POB	 3	 权威	 n
5	 RAD	 3	 的	 u
6	 HED	 -1	 敬畏	 v
7	 WP	 11	 、	 wp
8	 ADV	 11	 对	 p
9	 POB	 8	 官吏	 n
10	 RAD	 8	 的	 u
11	 COO	 6	 逢	 v
12	 VOB	 11	 迎	 v
13	 WP	 17	 、	 wp
14	 ADV	 17	 对	 p
15	 POB	 14	 官位	 n
16	 RAD	 14	 的	 u
17	 COO	 6	 渴求	 v
18	 LAD	 23	 和	 c
19	 ATT	 23	 对	 p
20	 SBV	 21	 政治	 n
21	 POB	 19	 冷漠	 a
22	 RAD	 19	 的	 u
23	 SBV	 26	 价值观	 n
24	 ADV	 26	 仍然	 d
25	 ADV	 26	 很	 d
26	 COO	 17	 浓重	 a
27	 WP	 6	 。	 wp

    在庇护关系仍然盛行的社会中，政治体制的制度化水平较低，难以制约非正式的运作，因而社会地位的流动总是通过体制外的渠道进行的。
0	 ADV	 15	 在	 p
1	 ATT	 6	 庇护	 v
2	 SBV	 4	 关系	 n
3	 ADV	 4	 仍然	 d
4	 VOB	 1	 盛行	 v
5	 RAD	 1	 的	 u
6	 ATT	 7	 社会	 n
7	 POB	 0	 中	 nd
8	 WP	 0	 ，	 wp
9	 ATT	 10	 政治	 n
10	 ATT	 13	 体制	 n
11	 RAD	 10	 的	 u
12	 ATT	 13	 制度化	 v
13	 SBV	 15	 水平	 n
14	 ADV	 15	 较	 d
15	 HED	 -1	 低	 a
16	 WP	 15	 ，	 wp
17	 ADV	 18	 难以	 d
18	 COO	 15	 制约	 v
19	 SBV	 21	 非正式	 b
20	 RAD	 19	 的	 u
21	 VOB	 18	 运作	 v
22	 WP	 18	 ，	 wp
23	 ADV	 27	 因而	 c
24	 ATT	 25	 社会	 n
25	 ADV	 27	 地位	 n
26	 RAD	 25	 的	 u
27	 COO	 18	 流动	 v
28	 ADV	 34	 总是	 d
29	 ADV	 34	 通过	 p
30	 ATT	 31	 体制	 n
31	 ATT	 33	 外	 nd
32	 RAD	 31	 的	 u
33	 POB	 29	 渠道	 n
34	 COO	 27	 进行	 v
35	 RAD	 34	 的	 u
36	 WP	 18	 。	 wp

尽管随着东亚各国现代化的推进，庇护制关系的重要性降低了，尤其是当国外和本国的资本关系深入到社会的各个角落以后，庇护制不再是最重要的人际关系了；金钱能使农民超过传统的庇护关系，资本主义的生产方式能使村民们追随村庄、地区和国家的管理者，追随勤奋的华商，但这在很大程度上仍然是通过个人关系来追求自己的利益的，只不过是在传统的庇护关系中增加了一些现代资本关系，还远远没有突破传统的庇护关系。
0	 ADV	 13	 尽管	 c
1	 ADV	 13	 随着	 p
2	 ATT	 3	 东亚	 ns
3	 SBV	 6	 各国	 r
4	 ADV	 6	 现代化	 v
5	 RAD	 4	 的	 u
6	 POB	 1	 推进	 v
7	 WP	 1	 ，	 wp
8	 ATT	 12	 庇护	 v
9	 ATT	 10	 制	 v
10	 VOB	 8	 关系	 n
11	 RAD	 8	 的	 u
12	 SBV	 13	 重要性	 n
13	 HED	 -1	 降低	 v
14	 RAD	 13	 了	 u
15	 WP	 13	 ，	 wp
16	 ADV	 17	 尤其	 d
17	 COO	 13	 是	 v
18	 ADV	 25	 当	 p
19	 POB	 18	 国外	 nl
20	 LAD	 24	 和	 c
21	 ATT	 24	 本国	 r
22	 RAD	 21	 的	 u
23	 ATT	 24	 资本	 n
24	 SBV	 25	 关系	 n
25	 VOB	 17	 深入	 v
26	 CMP	 25	 到	 v
27	 ATT	 30	 社会	 n
28	 RAD	 27	 的	 u
29	 ATT	 30	 各个	 r
30	 ATT	 31	 角落	 n
31	 POB	 26	 以后	 nd
32	 WP	 17	 ，	 wp
33	 SBV	 35	 庇护制	 n
34	 ADV	 35	 不再	 d
35	 COO	 17	 是	 v
36	 ADV	 37	 最	 d
37	 ATT	 39	 重要	 a
38	 RAD	 37	 的	 u
39	 VOB	 35	 人际关系	 n
40	 RAD	 35	 了	 u
41	 WP	 13	 ；	 wp

尽管随着东亚各国现代化的推进，庇护制关系的重要性降低了，尤其是当国外和本国的资本关系深入到社会的各个角落以后，庇护制不再是最重要的人际关系了；金钱能使农民超过传统的庇护关系，资本主义的生产方式能使村民们追随村庄、地区和国家的管理者，追随勤奋的华商，但这在很大程度上仍然是通过个人关系来追求自己的利益的，只不过是在传统的庇护关系中增加了一些现代资本关系，还远远没有突破传统的庇护关系。
0	 SBV	 2	 金钱	 n
1	 ADV	 2	 能	 v
2	 HED	 -1	 使	 v
3	 DBL	 2	 农民	 n
4	 VOB	 2	 超过	 v
5	 ATT	 8	 传统	 n
6	 RAD	 5	 的	 u
7	 ATT	 8	 庇护	 v
8	 VOB	 4	 关系	 n
9	 WP	 2	 ，	 wp
10	 ATT	 12	 资本主义	 n
11	 RAD	 10	 的	 u
12	 SBV	 14	 生产方式	 i
13	 ADV	 14	 能	 v
14	 COO	 2	 使	 v
15	 DBL	 14	 村民	 n
16	 RAD	 15	 们	 k
17	 VOB	 14	 追随	 v
18	 ATT	 24	 村庄	 n
19	 WP	 20	 、	 wp
20	 COO	 18	 地区	 n
21	 LAD	 22	 和	 c
22	 COO	 18	 国家	 n
23	 RAD	 18	 的	 u
24	 VOB	 17	 管理者	 n
25	 WP	 2	 ，	 wp
26	 COO	 2	 追随	 v
27	 ATT	 29	 勤奋	 a
28	 RAD	 27	 的	 u
29	 VOB	 26	 华商	 n
30	 WP	 2	 ，	 wp
31	 ADV	 39	 但	 c
32	 SBV	 39	 这	 r
33	 ADV	 39	 在	 p
34	 ADV	 35	 很	 d
35	 ATT	 36	 大	 a
36	 ATT	 37	 程度	 n
37	 POB	 33	 上	 nd
38	 ADV	 39	 仍然	 d
39	 COO	 2	 是	 v
40	 ADV	 44	 通过	 p
41	 ATT	 42	 个人	 n
42	 POB	 40	 关系	 n
43	 ADV	 44	 来	 v
44	 VOB	 39	 追求	 v
45	 ATT	 47	 自己	 r
46	 RAD	 45	 的	 u
47	 VOB	 44	 利益	 n
48	 RAD	 44	 的	 u
49	 WP	 39	 ，	 wp
50	 ADV	 51	 只不过	 d
51	 COO	 39	 是	 v
52	 ADV	 58	 在	 p
53	 ATT	 56	 传统	 n
54	 RAD	 53	 的	 u
55	 ATT	 56	 庇护	 v
56	 ATT	 57	 关系	 n
57	 POB	 52	 中	 nd
58	 VOB	 51	 增加	 v
59	 RAD	 58	 了	 u
60	 ATT	 63	 一些	 m
61	 ATT	 62	 现代	 nt
62	 ATT	 63	 资本	 n
63	 VOB	 58	 关系	 n
64	 WP	 51	 ，	 wp
65	 ADV	 68	 还	 d
66	 ADV	 68	 远远	 d
67	 ADV	 68	 没有	 d
68	 COO	 51	 突破	 v
69	 ATT	 72	 传统	 n
70	 RAD	 69	 的	 u
71	 ATT	 72	 庇护	 v
72	 VOB	 68	 关系	 n
73	 WP	 2	 。	 wp

等级、地位、感恩戴德和个人交往在现今东亚各国的社会政治关系中仍然占有很重要的地位，法制社会的建立尚待时日。
0	 SBV	 18	 等级	 n
1	 WP	 2	 、	 wp
2	 COO	 0	 地位	 n
3	 WP	 4	 、	 wp
4	 COO	 2	 感恩戴德	 i
5	 LAD	 6	 和	 c
6	 COO	 0	 个人	 n
7	 SBV	 18	 交往	 v
8	 ADV	 18	 在	 p
9	 ATT	 10	 现今	 nt
10	 ATT	 11	 东亚	 ns
11	 ATT	 15	 各国	 r
12	 RAD	 11	 的	 u
13	 ATT	 15	 社会	 n
14	 ATT	 15	 政治	 n
15	 ATT	 16	 关系	 n
16	 POB	 8	 中	 nd
17	 ADV	 18	 仍然	 d
18	 HED	 -1	 占有	 v
19	 ADV	 20	 很	 d
20	 ATT	 22	 重要	 a
21	 RAD	 20	 的	 u
22	 VOB	 18	 地位	 n
23	 WP	 18	 ，	 wp
24	 ATT	 25	 法制	 n
25	 ATT	 27	 社会	 n
26	 RAD	 25	 的	 u
27	 COO	 18	 建立	 v
28	 ADV	 29	 尚	 d
29	 COO	 27	 待	 v
30	 VOB	 27	 时日	 n
31	 WP	 18	 。	 wp

    对东亚各国传统的社会政治关系影响较大的传统文化主要有三种，即儒家文化、佛教文化和伊斯兰教文化。
0	 ADV	 15	 对	 p
1	 ATT	 2	 东亚	 ns
2	 ATT	 7	 各国	 r
3	 ATT	 7	 传统	 n
4	 RAD	 3	 的	 u
5	 ATT	 6	 社会	 n
6	 ATT	 7	 政治	 n
7	 POB	 0	 关系	 n
8	 SBV	 10	 影响	 v
9	 ADV	 10	 较	 d
10	 ATT	 13	 大	 a
11	 RAD	 10	 的	 u
12	 ATT	 13	 传统	 n
13	 SBV	 15	 文化	 n
14	 ADV	 15	 主要	 d
15	 HED	 -1	 有	 v
16	 ATT	 17	 三	 m
17	 VOB	 15	 种	 q
18	 WP	 17	 ，	 wp
19	 CMP	 17	 即	 v
20	 ATT	 21	 儒家	 n
21	 VOB	 19	 文化	 n
22	 WP	 24	 、	 wp
23	 ATT	 24	 佛教	 nz
24	 COO	 21	 文化	 n
25	 LAD	 27	 和	 c
26	 ATT	 27	 伊斯兰教	 nz
27	 COO	 21	 文化	 n
28	 WP	 15	 。	 wp

所有国家都受到了这三种文化的影响。
0	 ATT	 1	 所有	 b
1	 SBV	 3	 国家	 n
2	 ADV	 3	 都	 d
3	 HED	 -1	 受到	 v
4	 RAD	 3	 了	 u
5	 ATT	 6	 这	 r
6	 ATT	 7	 三	 m
7	 ATT	 8	 种	 q
8	 ATT	 10	 文化	 n
9	 RAD	 8	 的	 u
10	 VOB	 3	 影响	 v
11	 WP	 3	 。	 wp

其中中国、日本、韩国、朝鲜、新加坡和越南受儒家文化的影响更大一些，因而其社会政治关系中渗透着浓重的儒家原则。
0	 ADV	 18	 其中	 r
1	 SBV	 16	 中国	 ns
2	 WP	 3	 、	 wp
3	 COO	 1	 日本	 ns
4	 WP	 5	 、	 wp
5	 COO	 1	 韩国	 ns
6	 WP	 7	 、	 wp
7	 COO	 1	 朝鲜	 ns
8	 WP	 9	 、	 wp
9	 COO	 1	 新加坡	 ns
10	 LAD	 11	 和	 c
11	 COO	 1	 越南	 ns
12	 SBV	 16	 受	 v
13	 ATT	 14	 儒家	 n
14	 VOB	 12	 文化	 n
15	 RAD	 12	 的	 u
16	 SBV	 18	 影响	 v
17	 ADV	 18	 更	 d
18	 HED	 -1	 大	 a
19	 CMP	 18	 一些	 m
20	 WP	 18	 ，	 wp
21	 ADV	 27	 因而	 c
22	 ATT	 25	 其	 r
23	 ATT	 24	 社会	 n
24	 ATT	 25	 政治	 n
25	 ATT	 26	 关系	 n
26	 ADV	 27	 中	 nd
27	 COO	 18	 渗透	 v
28	 RAD	 27	 着	 u
29	 ATT	 32	 浓重	 a
30	 RAD	 29	 的	 u
31	 ATT	 32	 儒家	 n
32	 VOB	 27	 原则	 n
33	 WP	 27	 。	 wp

缅甸、泰国受佛教文化的影响更大些，因而其社会政治关系中有更多的佛教世界观。
0	 SBV	 3	 缅甸	 ns
1	 WP	 2	 、	 wp
2	 COO	 0	 泰国	 ns
3	 HED	 -1	 受	 v
4	 ATT	 5	 佛教	 nz
5	 ATT	 7	 文化	 n
6	 RAD	 5	 的	 u
7	 VOB	 3	 影响	 v
8	 ADV	 9	 更	 d
9	 CMP	 3	 大	 a
10	 CMP	 9	 些	 q
11	 WP	 3	 ，	 wp
12	 ADV	 18	 因而	 c
13	 ATT	 16	 其	 r
14	 ATT	 15	 社会	 n
15	 ATT	 16	 政治	 n
16	 ATT	 17	 关系	 n
17	 ADV	 18	 中	 nd
18	 COO	 3	 有	 v
19	 ADV	 20	 更	 d
20	 ATT	 23	 多	 a
21	 RAD	 20	 的	 u
22	 ATT	 23	 佛教	 nz
23	 VOB	 18	 世界观	 n
24	 WP	 3	 。	 wp

马来西亚和印尼等国则有更多的伊斯兰教文化的传统，因而伊斯兰的社会政治原则在其文化中有多方面的体现。
0	 ATT	 4	 马来西亚	 ns
1	 LAD	 2	 和	 c
2	 COO	 0	 印尼	 ns
3	 RAD	 0	 等	 u
4	 SBV	 6	 国	 n
5	 ADV	 6	 则	 c
6	 HED	 -1	 有	 v
7	 ADV	 8	 更	 d
8	 ATT	 11	 多	 a
9	 RAD	 8	 的	 u
10	 ATT	 11	 伊斯兰教	 nz
11	 ATT	 13	 文化	 n
12	 RAD	 11	 的	 u
13	 VOB	 6	 传统	 n
14	 WP	 6	 ，	 wp
15	 ADV	 25	 因而	 c
16	 ATT	 20	 伊斯兰	 nz
17	 RAD	 16	 的	 u
18	 ATT	 19	 社会	 n
19	 ATT	 20	 政治	 n
20	 SBV	 25	 原则	 n
21	 ADV	 25	 在	 p
22	 ATT	 23	 其	 r
23	 ATT	 24	 文化	 n
24	 POB	 21	 中	 nd
25	 COO	 6	 有	 v
26	 ATT	 27	 多	 a
27	 ADV	 29	 方面	 n
28	 RAD	 27	 的	 u
29	 VOB	 25	 体现	 v
30	 WP	 6	 。	 wp

    儒家伦理是一套复杂的信念，儒家学说强调认同、稳定和舆论的一致性，这有助于政府稳妥地处理现代化引起的经济和社会矛盾。
0	 ATT	 1	 儒家	 n
1	 SBV	 2	 伦理	 n
2	 HED	 -1	 是	 v
3	 ATT	 4	 一	 m
4	 ATT	 7	 套	 q
5	 ATT	 7	 复杂	 a
6	 RAD	 5	 的	 u
7	 VOB	 2	 信念	 n
8	 WP	 2	 ，	 wp
9	 ATT	 10	 儒家	 n
10	 SBV	 11	 学说	 n
11	 COO	 2	 强调	 v
12	 VOB	 11	 认同	 v
13	 WP	 14	 、	 wp
14	 VOB	 11	 稳定	 a
15	 LAD	 18	 和	 c
16	 ATT	 18	 舆论	 n
17	 RAD	 16	 的	 u
18	 VOB	 14	 一致性	 n
19	 WP	 2	 ，	 wp
20	 SBV	 21	 这	 r
21	 COO	 2	 有助于	 v
22	 SBV	 25	 政府	 n
23	 ADV	 25	 稳妥	 a
24	 RAD	 23	 地	 u
25	 VOB	 21	 处理	 v
26	 ATT	 29	 现代化	 v
27	 COO	 26	 引起	 v
28	 RAD	 26	 的	 u
29	 SBV	 32	 经济	 n
30	 LAD	 31	 和	 c
31	 COO	 29	 社会	 n
32	 VOB	 25	 矛盾	 a
33	 WP	 2	 。	 wp

然而，这些价值观以及它对等级和掌权者的过分敬重，则是权威主义的基础。
0	 ADV	 15	 然而	 c
1	 WP	 0	 ，	 wp
2	 ATT	 3	 这些	 r
3	 FOB	 12	 价值观	 n
4	 LAD	 12	 以及	 c
5	 SBV	 12	 它	 r
6	 ADV	 12	 对	 p
7	 POB	 6	 等级	 n
8	 LAD	 9	 和	 c
9	 COO	 7	 掌权者	 n
10	 RAD	 6	 的	 u
11	 ADV	 12	 过分	 a
12	 SBV	 15	 敬重	 v
13	 WP	 12	 ，	 wp
14	 ADV	 15	 则	 d
15	 HED	 -1	 是	 v
16	 ATT	 18	 权威主义	 n
17	 RAD	 16	 的	 u
18	 VOB	 15	 基础	 n
19	 WP	 15	 。	 wp

有些国家曾试图从社会中清除儒家伦理，但它们建立的集体主义观念的核心实际上仍然是儒家伦理。
0	 ATT	 1	 有些	 r
1	 SBV	 3	 国家	 n
2	 ADV	 3	 曾	 d
3	 HED	 -1	 试图	 v
4	 ADV	 7	 从	 p
5	 ATT	 6	 社会	 n
6	 POB	 4	 中	 nd
7	 VOB	 3	 清除	 v
8	 ATT	 9	 儒家	 n
9	 VOB	 7	 伦理	 n
10	 WP	 3	 ，	 wp
11	 ADV	 21	 但	 c
12	 SBV	 13	 它们	 r
13	 ATT	 16	 建立	 v
14	 RAD	 13	 的	 u
15	 ATT	 16	 集体主义	 n
16	 ATT	 18	 观念	 n
17	 RAD	 16	 的	 u
18	 SBV	 21	 核心	 n
19	 ADV	 21	 实际上	 d
20	 ADV	 21	 仍然	 d
21	 COO	 3	 是	 v
22	 ATT	 23	 儒家	 n
23	 VOB	 21	 伦理	 n
24	 WP	 3	 。	 wp

它们实际上赞同传统的儒家政治观，即领导人应该是道德化的，而追随者应该绝对服从。
0	 SBV	 2	 它们	 r
1	 ADV	 2	 实际上	 d
2	 HED	 -1	 赞同	 v
3	 ATT	 6	 传统	 n
4	 RAD	 3	 的	 u
5	 ATT	 6	 儒家	 n
6	 VOB	 2	 政治观	 n
7	 WP	 6	 ，	 wp
8	 CMP	 6	 即	 v
9	 SBV	 11	 领导人	 n
10	 ADV	 11	 应该	 v
11	 VOB	 8	 是	 v
12	 VOB	 11	 道德化	 v
13	 RAD	 12	 的	 u
14	 WP	 2	 ，	 wp
15	 ADV	 19	 而	 c
16	 SBV	 19	 追随者	 n
17	 ADV	 19	 应该	 v
18	 ADV	 19	 绝对	 d
19	 COO	 2	 服从	 v
20	 WP	 2	 。	 wp

在传统的儒式社会里，达到舆论一致是非常重要的，至少要达到统治阶级内部的一致。
0	 ADV	 10	 在	 p
1	 ATT	 4	 传统	 n
2	 RAD	 1	 的	 u
3	 ATT	 4	 儒式	 b
4	 ATT	 5	 社会	 n
5	 POB	 0	 里	 nd
6	 WP	 0	 ，	 wp
7	 SBV	 10	 达到	 v
8	 SBV	 9	 舆论	 n
9	 VOB	 7	 一致	 a
10	 HED	 -1	 是	 v
11	 ADV	 12	 非常	 d
12	 VOB	 10	 重要	 a
13	 RAD	 12	 的	 u
14	 WP	 10	 ，	 wp
15	 ADV	 17	 至少	 d
16	 ADV	 17	 要	 v
17	 COO	 10	 达到	 v
18	 ATT	 19	 统治阶级	 i
19	 ATT	 21	 内部	 nd
20	 RAD	 19	 的	 u
21	 VOB	 17	 一致	 a
22	 WP	 10	 。	 wp

儒家主张在基本的生存权之外，不应再有个人的权利，个人应泯灭于家庭、家族和国家之中。
0	 SBV	 1	 儒家	 n
1	 HED	 -1	 主张	 v
2	 ADV	 11	 在	 p
3	 ATT	 5	 基本	 a
4	 RAD	 3	 的	 u
5	 ATT	 6	 生存权	 n
6	 POB	 2	 之外	 nd
7	 WP	 2	 ，	 wp
8	 ADV	 9	 不	 d
9	 ADV	 11	 应	 v
10	 ADV	 11	 再	 d
11	 VOB	 1	 有	 v
12	 ATT	 14	 个人	 n
13	 RAD	 12	 的	 u
14	 VOB	 11	 权利	 n
15	 WP	 11	 ，	 wp
16	 SBV	 18	 个人	 n
17	 ADV	 18	 应	 v
18	 COO	 11	 泯灭	 v
19	 CMP	 18	 于	 p
20	 ATT	 25	 家庭	 n
21	 WP	 22	 、	 wp
22	 COO	 20	 家族	 n
23	 LAD	 24	 和	 c
24	 COO	 20	 国家	 n
25	 POB	 19	 之中	 nd
26	 WP	 1	 。	 wp

