【 文献号 】1-3101【原文出处】中国文化报【原刊地名】京【原刊期号】19960526【原刊页号】⑴【分 类 号】J1【分 类 名】文艺理论【 作  者 】刘忠德【复印期号】199607【 标  题 】在１９９６年全国艺术创作会议上的讲话【 正  文 】    （1996年4月16日于北京）    同志们：    1996年全国艺术创作会议今天开幕了。
0	 ADV	 8	 ﻿	 v
30	 ADV	 31	 要	 v
31	 VOB	 28	 解决	 v
32	 RAD	 28	 的	 u
33	 ATT	 34	 问题	 n
34	 VOB	 26	 之一	 r
35	 WP	 22	 。	 wp

对此，我们曾反复地明确指出，艺术精品的标准，就是思想性和艺术性的统一与完美结合，并为人民群众所喜闻乐见。
0	 ADV	 8	 对	 p
1	 POB	 0	 此	 r
2	 WP	 0	 ，	 wp
3	 SBV	 8	 我们	 r
4	 ADV	 8	 曾	 d
5	 ADV	 8	 反复	 d
6	 RAD	 5	 地	 u
7	 ADV	 8	 明确	 a
8	 HED	 -1	 指出	 v
9	 WP	 8	 ，	 wp
10	 ATT	 11	 艺术	 n
11	 ATT	 13	 精品	 n
12	 RAD	 11	 的	 u
13	 SBV	 16	 标准	 n
14	 WP	 13	 ，	 wp
15	 ADV	 16	 就	 d
16	 VOB	 8	 是	 v
17	 SBV	 21	 思想性	 n
18	 LAD	 19	 和	 c
19	 COO	 17	 艺术性	 n
20	 RAD	 17	 的	 u
21	 VOB	 16	 统一	 v
22	 ADV	 24	 与	 p
23	 POB	 22	 完美	 a
24	 VOB	 21	 结合	 v
25	 WP	 21	 ，	 wp
26	 ADV	 31	 并	 c
27	 ADV	 31	 为	 p
28	 ATT	 29	 人民	 n
29	 POB	 27	 群众	 n
30	 LAD	 31	 所	 u
31	 COO	 21	 喜闻乐见	 i
32	 WP	 8	 。	 wp

只有这样的作品才能有强烈的吸引力和感染力，才能得到社会的承认和群众的喜爱，才能经得起历史的检验，才能在文化市场的激烈竞争中赢得优势。
0	 ADV	 6	 只有	 c
1	 ATT	 3	 这样	 r
2	 RAD	 1	 的	 u
3	 SBV	 6	 作品	 n
4	 ADV	 5	 才	 d
5	 ADV	 6	 能	 v
6	 HED	 -1	 有	 v
7	 ATT	 9	 强烈	 a
8	 RAD	 7	 的	 u
9	 VOB	 6	 吸引力	 n
10	 LAD	 11	 和	 c
11	 COO	 9	 感染力	 n
12	 WP	 6	 ，	 wp
13	 ADV	 15	 才	 c
14	 ADV	 15	 能	 v
15	 COO	 6	 得到	 v
16	 ATT	 18	 社会	 n
17	 RAD	 16	 的	 u
18	 VOB	 15	 承认	 v
19	 LAD	 22	 和	 c
20	 ADV	 22	 群众	 n
21	 RAD	 20	 的	 u
22	 VOB	 18	 喜爱	 v
23	 WP	 6	 ，	 wp
24	 ADV	 26	 才	 c
25	 ADV	 26	 能	 v
26	 COO	 6	 经得起	 v
27	 ADV	 29	 历史	 n
28	 RAD	 27	 的	 u
29	 VOB	 26	 检验	 v
30	 WP	 6	 ，	 wp
31	 ADV	 32	 才	 c
32	 ADV	 40	 能	 v
33	 ADV	 40	 在	 p
34	 ATT	 35	 文化	 n
35	 ATT	 38	 市场	 n
36	 RAD	 35	 的	 u
37	 ADV	 38	 激烈	 a
38	 ATT	 39	 竞争	 v
39	 POB	 33	 中	 nd
40	 COO	 6	 赢得	 v
41	 VOB	 40	 优势	 n
42	 WP	 6	 。	 wp

艺术发展的实践反复说明，缺乏深刻思想内涵的作品就是没有灵魂，而缺乏艺术魅力的作品就是没有血肉。
0	 SBV	 1	 艺术	 n
1	 SBV	 5	 发展	 v
2	 RAD	 1	 的	 u
3	 SBV	 5	 实践	 v
4	 ADV	 5	 反复	 d
5	 HED	 -1	 说明	 v
6	 WP	 5	 ，	 wp
7	 ATT	 12	 缺乏	 v
8	 ATT	 10	 深刻	 a
9	 ATT	 10	 思想	 n
10	 VOB	 7	 内涵	 n
11	 RAD	 7	 的	 u
12	 SBV	 13	 作品	 n
13	 VOB	 5	 就是	 d
14	 VOB	 13	 没有	 v
15	 VOB	 14	 灵魂	 n
16	 WP	 13	 ，	 wp
17	 ADV	 23	 而	 c
18	 ATT	 22	 缺乏	 v
19	 ATT	 20	 艺术	 n
20	 VOB	 18	 魅力	 n
21	 RAD	 18	 的	 u
22	 SBV	 23	 作品	 n
23	 COO	 13	 就是	 d
24	 VOB	 23	 没有	 v
25	 VOB	 24	 血肉	 n
26	 WP	 5	 。	 wp

艺术作品只有灵魂鲜活，血肉丰满，才能塑造出千古不朽的艺术形象，才能成为光耀史册的艺术精品。
0	 ATT	 1	 艺术	 n
1	 SBV	 3	 作品	 n
2	 ADV	 3	 只	 d
3	 HED	 -1	 有	 v
4	 SBV	 5	 灵魂	 n
5	 VOB	 3	 鲜活	 a
6	 WP	 3	 ，	 wp
7	 SBV	 8	 血肉	 n
8	 COO	 3	 丰满	 a
9	 WP	 3	 ，	 wp
10	 ADV	 12	 才	 c
11	 ADV	 12	 能	 v
12	 COO	 3	 塑造	 v
13	 CMP	 12	 出	 v
14	 ATT	 17	 千古不朽	 i
15	 RAD	 14	 的	 u
16	 ATT	 17	 艺术	 n
17	 VOB	 12	 形象	 n
18	 WP	 3	 ，	 wp
19	 ADV	 21	 才	 c
20	 ADV	 21	 能	 v
21	 COO	 3	 成为	 v
22	 ATT	 26	 光耀	 v
23	 VOB	 22	 史册	 n
24	 RAD	 22	 的	 u
25	 ATT	 26	 艺术	 n
26	 VOB	 21	 精品	 n
27	 WP	 3	 。	 wp

艺术精品的生产所必须遵循的这一标准，是符合马克思主义的文艺思想的。
0	 ATT	 1	 艺术	 n
1	 ATT	 4	 精品	 n
2	 RAD	 1	 的	 u
3	 ATT	 4	 生产	 v
4	 LAD	 5	 所	 u
5	 ADV	 6	 必须	 d
6	 ATT	 10	 遵循	 v
7	 RAD	 6	 的	 u
8	 ATT	 9	 这	 r
9	 ATT	 10	 一	 m
10	 SBV	 12	 标准	 n
11	 WP	 10	 ，	 wp
12	 HED	 -1	 是	 v
13	 VOB	 12	 符合	 v
14	 ATT	 17	 马克思主义	 n
15	 RAD	 14	 的	 u
16	 ATT	 17	 文艺	 n
17	 VOB	 13	 思想	 n
18	 RAD	 13	 的	 u
19	 WP	 12	 。	 wp

    马克思认为，实践是检验真理的唯一标准，也同样是衡量作为社会意识形态之一的文艺作品的唯一标准。
0	 SBV	 1	 马克思	 nh
1	 HED	 -1	 认为	 v
2	 WP	 1	 ，	 wp
3	 SBV	 4	 实践	 v
4	 VOB	 1	 是	 v
5	 ATT	 9	 检验	 v
6	 VOB	 5	 真理	 n
7	 RAD	 5	 的	 u
8	 ATT	 9	 唯一	 b
9	 VOB	 4	 标准	 n
10	 WP	 4	 ，	 wp
11	 ADV	 13	 也	 d
12	 ADV	 13	 同样	 d
13	 COO	 4	 是	 v
14	 ATT	 24	 衡量	 v
15	 ATT	 18	 作为	 v
16	 ATT	 17	 社会	 n
17	 POB	 15	 意识形态	 i
18	 ATT	 21	 之一	 r
19	 RAD	 18	 的	 u
20	 ATT	 21	 文艺	 n
21	 VOB	 14	 作品	 n
22	 RAD	 14	 的	 u
23	 ATT	 24	 唯一	 b
24	 VOB	 13	 标准	 n
25	 WP	 1	 。	 wp

对于文艺作品来说，这种作为衡量标准的实践，通常突出表现为两个方面，一方面是社会的政治实践，另一方面是社会的艺术实践。
0	 ADV	 14	 对于	 p
1	 ATT	 2	 文艺	 n
2	 POB	 0	 作品	 n
3	 RAD	 0	 来说	 u
4	 WP	 0	 ，	 wp
5	 ATT	 10	 这种	 r
6	 ADV	 10	 作为	 v
7	 ATT	 8	 衡量	 v
8	 VOB	 6	 标准	 n
9	 RAD	 6	 的	 u
10	 POB	 0	 实践	 v
11	 WP	 0	 ，	 wp
12	 ADV	 14	 通常	 d
13	 ADV	 14	 突出	 a
14	 HED	 -1	 表现	 v
15	 COO	 14	 为	 v
16	 ATT	 17	 两	 m
17	 ATT	 18	 个	 q
18	 POB	 15	 方面	 n
19	 WP	 14	 ，	 wp
20	 ADV	 21	 一方面	 c
21	 COO	 14	 是	 v
22	 ATT	 25	 社会	 n
23	 RAD	 22	 的	 u
24	 ATT	 25	 政治	 n
25	 VOB	 21	 实践	 v
26	 WP	 21	 ，	 wp
27	 ADV	 28	 另一方面	 c
28	 COO	 21	 是	 v
29	 ATT	 31	 社会	 n
30	 RAD	 29	 的	 u
31	 ATT	 32	 艺术	 n
32	 VOB	 28	 实践	 v
33	 WP	 14	 。	 wp

因此，毛泽东同志把衡量艺术作品是非优劣的标准归结为“一个是政治标准，一个是艺术标准。
0	 ADV	 12	 因此	 c
1	 WP	 0	 ，	 wp
2	 ATT	 3	 毛泽东	 nh
3	 SBV	 12	 同志	 n
4	 ADV	 12	 把	 p
5	 ATT	 11	 衡量	 v
6	 ATT	 7	 艺术	 n
7	 FOB	 8	 作品	 n
8	 ATT	 9	 是非	 n
9	 VOB	 5	 优劣	 n
10	 RAD	 5	 的	 u
11	 POB	 4	 标准	 n
12	 HED	 -1	 归结	 v
13	 CMP	 12	 为	 v
14	 WP	 16	 “	 wp
15	 SBV	 16	 一个	 m
16	 VOB	 13	 是	 v
17	 ATT	 18	 政治	 n
18	 VOB	 16	 标准	 n
19	 WP	 16	 ，	 wp
20	 SBV	 21	 一个	 m
21	 COO	 16	 是	 v
22	 ATT	 23	 艺术	 n
23	 VOB	 21	 标准	 n
24	 WP	 16	 。	 wp

”    就政治标准而言，当社会主义现代化建设成为我国当代社会生活主潮的时候，邓小平同志科学地阐述说：“社会主义现代化建设是我们当前最大的政治，因为它代表着人民群众最大的、最根本的利益。
0	 ADV	 23	 ”	 wp
1	 ADV	 23	 就	 p
2	 ATT	 3	 政治	 n
3	 POB	 1	 标准	 n
4	 RAD	 1	 而言	 u
5	 WP	 1	 ，	 wp
6	 ADV	 23	 当	 p
7	 ATT	 8	 社会主义	 n
8	 ATT	 17	 现代化	 v
9	 COO	 8	 建设	 v
10	 COO	 9	 成为	 v
11	 ATT	 13	 我国	 n
12	 ATT	 13	 当代	 nt
13	 SBV	 14	 社会	 n
14	 ATT	 15	 生活	 v
15	 VOB	 10	 主潮	 n
16	 RAD	 8	 的	 u
17	 POB	 6	 时候	 n
18	 WP	 6	 ，	 wp
19	 ATT	 20	 邓小平	 nh
20	 SBV	 23	 同志	 n
21	 ADV	 23	 科学	 a
22	 RAD	 21	 地	 u
23	 HED	 -1	 阐述	 v
24	 COO	 23	 说	 v
25	 WP	 24	 ：	 wp
26	 WP	 30	 “	 wp
27	 SBV	 28	 社会主义	 n
28	 SBV	 30	 现代化	 v
29	 COO	 28	 建设	 v
30	 VOB	 24	 是	 v
31	 ATT	 36	 我们	 r
32	 ADV	 34	 当前	 nt
33	 ADV	 34	 最	 d
34	 ATT	 36	 大	 a
35	 RAD	 34	 的	 u
36	 VOB	 30	 政治	 n
37	 WP	 30	 ，	 wp
38	 ADV	 40	 因为	 c
39	 SBV	 40	 它	 r
40	 COO	 30	 代表	 v
41	 RAD	 40	 着	 u
42	 ATT	 43	 人民	 n
43	 SBV	 45	 群众	 n
44	 ADV	 45	 最	 d
45	 ATT	 51	 大	 a
46	 RAD	 45	 的	 u
47	 WP	 49	 、	 wp
48	 ADV	 49	 最	 d
49	 ATT	 51	 根本	 a
50	 RAD	 49	 的	 u
51	 VOB	 40	 利益	 n
52	 WP	 24	 。	 wp

”因此，社会主义现代化建设的伟大实践就理所当然地成为当代全国各族人民最大的最根本的政治实践。
0	 ADV	 12	 ”	 wp
1	 ADV	 12	 因此	 c
2	 WP	 1	 ，	 wp
3	 SBV	 4	 社会主义	 n
4	 SBV	 12	 现代化	 v
5	 COO	 4	 建设	 v
6	 RAD	 4	 的	 u
7	 ATT	 8	 伟大	 a
8	 SBV	 12	 实践	 v
9	 ADV	 12	 就	 d
10	 ADV	 12	 理所当然	 i
11	 RAD	 10	 地	 u
12	 HED	 -1	 成为	 v
13	 ATT	 16	 当代	 nt
14	 ATT	 16	 全国	 n
15	 ATT	 16	 各族	 r
16	 SBV	 18	 人民	 n
17	 ADV	 18	 最	 d
18	 ATT	 24	 大	 a
19	 RAD	 18	 的	 u
20	 ADV	 21	 最	 d
21	 ATT	 23	 根本	 a
22	 RAD	 21	 的	 u
23	 ATT	 24	 政治	 n
24	 VOB	 12	 实践	 v
25	 WP	 12	 。	 wp

因而，也就相应的成为衡量当代中国的艺术作品的最大的最根本的政治标准。
0	 ADV	 6	 因而	 c
1	 WP	 0	 ，	 wp
2	 ADV	 4	 也	 d
3	 ADV	 4	 就	 d
4	 ADV	 6	 相应	 v
5	 RAD	 4	 的	 u
6	 HED	 -1	 成为	 v
7	 ATT	 21	 衡量	 v
8	 ATT	 9	 当代	 nt
9	 ATT	 12	 中国	 ns
10	 RAD	 9	 的	 u
11	 ATT	 12	 艺术	 n
12	 VOB	 7	 作品	 n
13	 RAD	 7	 的	 u
14	 ADV	 15	 最	 d
15	 ATT	 21	 大	 a
16	 RAD	 15	 的	 u
17	 ADV	 18	 最	 d
18	 ATT	 21	 根本	 a
19	 RAD	 18	 的	 u
20	 ATT	 21	 政治	 n
21	 VOB	 6	 标准	 n
22	 WP	 6	 。	 wp

正如邓小平同志所说的那样：“对实现四个现代化有利还是有害，应当成为一切工作最根本的是非标准。
0	 ADV	 1	 正	 d
1	 ADV	 5	 如	 v
2	 ATT	 3	 邓小平	 nh
3	 SBV	 5	 同志	 n
4	 LAD	 5	 所	 u
5	 HED	 -1	 说	 v
6	 RAD	 5	 的	 u
7	 VOB	 5	 那样	 r
8	 WP	 5	 ：	 wp
9	 WP	 14	 “	 wp
10	 ADV	 14	 对	 p
11	 POB	 10	 实现	 v
12	 ATT	 13	 四	 m
13	 VOB	 11	 个	 q
14	 VOB	 5	 现代化	 v
15	 CMP	 14	 有利	 a
16	 LAD	 17	 还是	 c
17	 COO	 15	 有害	 a
18	 WP	 14	 ，	 wp
19	 ADV	 20	 应当	 v
20	 COO	 14	 成为	 v
21	 ATT	 27	 一切	 r
22	 SBV	 24	 工作	 v
23	 ADV	 24	 最	 d
24	 ATT	 27	 根本	 a
25	 RAD	 24	 的	 u
26	 ATT	 27	 是非	 n
27	 VOB	 20	 标准	 n
28	 WP	 5	 。	 wp

”    就艺术标准而言，邓小平同志依据文艺创作的客观规律，把深刻的艺术内容与完美的艺术形式相统一，这种艺术创作所追求的最高境界作为新时期衡量艺术作品的艺术标准。
0	 SBV	 26	 ”	 wp
1	 ADV	 26	 就	 p
2	 ATT	 3	 艺术	 n
3	 POB	 1	 标准	 n
4	 RAD	 1	 而言	 u
5	 WP	 1	 ，	 wp
6	 ATT	 7	 邓小平	 nh
7	 SBV	 26	 同志	 n
8	 ADV	 26	 依据	 p
9	 SBV	 10	 文艺	 n
10	 ATT	 13	 创作	 v
11	 RAD	 10	 的	 u
12	 ATT	 13	 客观	 a
13	 POB	 8	 规律	 n
14	 WP	 8	 ，	 wp
15	 ADV	 26	 把	 p
16	 ATT	 19	 深刻	 a
17	 RAD	 16	 的	 u
18	 ATT	 19	 艺术	 n
19	 POB	 15	 内容	 n
20	 ADV	 26	 与	 c
21	 ATT	 24	 完美	 a
22	 RAD	 21	 的	 u
23	 ATT	 24	 艺术	 n
24	 POB	 20	 形式	 n
25	 ADV	 26	 相	 d
26	 HED	 -1	 统一	 v
27	 WP	 26	 ，	 wp
28	 ATT	 29	 这种	 r
29	 SBV	 30	 艺术	 n
30	 ATT	 35	 创作	 v
31	 LAD	 32	 所	 u
32	 COO	 30	 追求	 v
33	 RAD	 30	 的	 u
34	 ATT	 35	 最高	 a
35	 SBV	 36	 境界	 n
36	 COO	 26	 作为	 v
37	 ATT	 38	 新	 a
38	 ADV	 39	 时期	 n
39	 ATT	 44	 衡量	 v
40	 ATT	 41	 艺术	 n
41	 VOB	 39	 作品	 n
42	 RAD	 39	 的	 u
43	 ATT	 44	 艺术	 n
44	 VOB	 36	 标准	 n
45	 WP	 26	 。	 wp

首先在艺术内容上，邓小平同志指出：“我们的社会主义文艺，要通过有血有肉，生动感人的艺术形象，真实地反映社会生活，反映人们在各种社会关系中的本质。
0	 ADV	 8	 首先	 c
1	 ADV	 8	 在	 p
2	 ATT	 3	 艺术	 n
3	 ATT	 4	 内容	 n
4	 POB	 1	 上	 nd
5	 WP	 1	 ，	 wp
6	 ATT	 7	 邓小平	 nh
7	 SBV	 8	 同志	 n
8	 HED	 -1	 指出	 v
9	 WP	 8	 ：	 wp
10	 WP	 29	 “	 wp
11	 ATT	 14	 我们	 r
12	 RAD	 11	 的	 u
13	 ATT	 14	 社会主义	 n
14	 SBV	 29	 文艺	 n
15	 WP	 14	 ，	 wp
16	 ADV	 29	 要	 v
17	 ADV	 29	 通过	 p
18	 POB	 17	 有	 v
19	 VOB	 18	 血有肉	 n
20	 WP	 18	 ，	 wp
21	 ATT	 25	 生动	 a
22	 COO	 21	 感人	 a
23	 RAD	 21	 的	 u
24	 ATT	 25	 艺术	 n
25	 COO	 18	 形象	 n
26	 WP	 17	 ，	 wp
27	 ADV	 29	 真实	 a
28	 RAD	 27	 地	 u
29	 VOB	 8	 反映	 v
30	 ATT	 31	 社会	 n
31	 VOB	 29	 生活	 v
32	 WP	 29	 ，	 wp
33	 COO	 29	 反映	 v
34	 SBV	 40	 人们	 n
35	 ATT	 40	 在	 p
36	 ATT	 37	 各种	 r
37	 ATT	 38	 社会关系	 i
38	 POB	 35	 中	 nd
39	 RAD	 35	 的	 u
40	 VOB	 33	 本质	 n
41	 WP	 8	 。	 wp

表现时代前进的要求和历史发展的趋势，并且努力用社会主义思想教育人民，给他们以积极进取，奋发图强的精神。
0	 HED	 -1	 表现	 v
1	 SBV	 2	 时代	 n
2	 ATT	 4	 前进	 v
3	 RAD	 2	 的	 u
4	 VOB	 0	 要求	 n
5	 LAD	 9	 和	 c
6	 SBV	 7	 历史	 n
7	 ATT	 9	 发展	 v
8	 RAD	 7	 的	 u
9	 COO	 4	 趋势	 n
10	 WP	 0	 ，	 wp
11	 ADV	 12	 并且	 c
12	 ADV	 13	 努力	 a
13	 COO	 0	 用	 p
14	 ATT	 15	 社会主义	 n
15	 VOB	 13	 思想	 n
16	 COO	 13	 教育	 v
17	 VOB	 16	 人民	 n
18	 WP	 16	 ，	 wp
19	 COO	 13	 给	 p
20	 POB	 19	 他们	 r
21	 CMP	 19	 以	 p
22	 ADV	 23	 积极	 a
23	 ATT	 27	 进取	 v
24	 WP	 23	 ，	 wp
25	 COO	 23	 奋发图强	 i
26	 RAD	 23	 的	 u
27	 POB	 21	 精神	 n
28	 WP	 0	 。	 wp

”其次，在艺术形式上，邓小平同志又指出：“所有的文艺工作者，都应当认真钻研、吸取、融化和发展古今中外艺术技巧中一切好的东西，创造出具有民族风格和时代特色的完美的艺术形式。
0	 ADV	 11	 ”	 wp
1	 ADV	 11	 其次	 c
2	 WP	 1	 ，	 wp
3	 ADV	 11	 在	 p
4	 ATT	 5	 艺术	 n
5	 ATT	 6	 形式	 n
6	 POB	 3	 上	 nd
7	 WP	 3	 ，	 wp
8	 ATT	 9	 邓小平	 nh
9	 SBV	 11	 同志	 n
10	 ADV	 11	 又	 d
11	 HED	 -1	 指出	 v
12	 WP	 11	 ：	 wp
13	 WP	 16	 “	 wp
14	 ATT	 16	 所有	 b
15	 RAD	 14	 的	 u
16	 FOB	 21	 文艺工作者	 n
17	 WP	 16	 ，	 wp
18	 ADV	 21	 都	 d
19	 ADV	 21	 应当	 v
20	 ADV	 21	 认真	 a
21	 VOB	 11	 钻研	 v
22	 WP	 23	 、	 wp
23	 COO	 21	 吸取	 v
24	 WP	 25	 、	 wp
25	 COO	 21	 融化	 v
26	 LAD	 27	 和	 c
27	 COO	 25	 发展	 v
28	 ATT	 29	 古今中外	 j
29	 ATT	 30	 艺术	 n
30	 ATT	 31	 技巧	 n
31	 ATT	 35	 中	 nd
32	 ATT	 35	 一切	 r
33	 ATT	 35	 好	 a
34	 RAD	 33	 的	 u
35	 VOB	 25	 东西	 n
36	 WP	 21	 ，	 wp
37	 COO	 21	 创造	 v
38	 CMP	 37	 出	 v
39	 ATT	 49	 具有	 v
40	 ATT	 41	 民族	 n
41	 VOB	 39	 风格	 n
42	 LAD	 44	 和	 c
43	 ATT	 44	 时代	 n
44	 COO	 41	 特色	 n
45	 RAD	 39	 的	 u
46	 ATT	 49	 完美	 a
47	 RAD	 46	 的	 u
48	 ATT	 49	 艺术	 n
49	 VOB	 37	 形式	 n
50	 WP	 11	 。	 wp

”新时期艺术发展的实践证明，只有正确处理好政治与艺术的关系，正确处理好内容与形式的关系，才能最终实现思想性与艺术性的完美结合，才能使艺术精品不断涌现。
0	 WP	 7	 ”	 wp
1	 ATT	 2	 新	 a
2	 ADV	 4	 时期	 n
3	 SBV	 4	 艺术	 n
4	 ATT	 7	 发展	 v
5	 RAD	 4	 的	 u
6	 SBV	 7	 实践	 v
7	 HED	 -1	 证明	 v
8	 WP	 7	 ，	 wp
9	 ADV	 11	 只有	 c
10	 ADV	 11	 正确	 a
11	 VOB	 7	 处理	 v
12	 CMP	 11	 好	 a
13	 ATT	 17	 政治	 n
14	 LAD	 15	 与	 c
15	 COO	 13	 艺术	 n
16	 RAD	 13	 的	 u
17	 VOB	 11	 关系	 n
18	 WP	 11	 ，	 wp
19	 ADV	 20	 正确	 a
20	 COO	 11	 处理	 v
21	 CMP	 20	 好	 a
22	 ATT	 26	 内容	 n
23	 LAD	 24	 与	 p
24	 COO	 22	 形式	 n
25	 RAD	 24	 的	 u
26	 VOB	 20	 关系	 n
27	 WP	 11	 ，	 wp
28	 ADV	 29	 才	 c
29	 ADV	 31	 能	 v
30	 ADV	 31	 最终	 d
31	 COO	 11	 实现	 v
32	 SBV	 37	 思想性	 n
33	 LAD	 34	 与	 p
34	 COO	 32	 艺术性	 n
35	 RAD	 32	 的	 u
36	 ADV	 37	 完美	 a
37	 VOB	 31	 结合	 v
38	 WP	 11	 ，	 wp
39	 ADV	 41	 才	 c
40	 ADV	 41	 能	 v
41	 COO	 11	 使	 v
42	 ATT	 43	 艺术	 n
43	 DBL	 41	 精品	 n
44	 ADV	 45	 不断	 d
45	 VOB	 41	 涌现	 v
46	 WP	 7	 。	 wp

当前，我们强调思想性与艺术性的统一与完美结合，对于题材选择与艺术体现来说，很重要的一个方面，就是要坚持弘扬主旋律，提倡多样化。
0	 ADV	 3	 当前	 nt
1	 WP	 0	 ，	 wp
2	 SBV	 3	 我们	 r
3	 HED	 -1	 强调	 v
4	 SBV	 8	 思想性	 n
5	 LAD	 6	 与	 p
6	 COO	 4	 艺术性	 n
7	 RAD	 4	 的	 u
8	 VOB	 3	 统一	 v
9	 ADV	 11	 与	 p
10	 POB	 9	 完美	 a
11	 VOB	 8	 结合	 v
12	 WP	 8	 ，	 wp
13	 ADV	 28	 对于	 p
14	 SBV	 15	 题材	 n
15	 ATT	 25	 选择	 v
16	 ADV	 18	 与	 p
17	 POB	 16	 艺术	 n
18	 VOB	 15	 体现	 v
19	 RAD	 15	 来说	 u
20	 WP	 15	 ，	 wp
21	 ADV	 22	 很	 d
22	 ATT	 25	 重要	 a
23	 RAD	 22	 的	 u
24	 ATT	 25	 一个	 m
25	 POB	 13	 方面	 n
26	 WP	 13	 ，	 wp
27	 ADV	 28	 就	 d
28	 ADV	 30	 是	 v
29	 ADV	 30	 要	 v
30	 COO	 8	 坚持	 v
31	 VOB	 30	 弘扬	 v
32	 VOB	 31	 主旋律	 n
33	 WP	 30	 ，	 wp
34	 COO	 30	 提倡	 v
35	 VOB	 34	 多样化	 v
36	 WP	 3	 。	 wp

            第三、正确处理加强领导与具体服务的关系    从宏观的意义上说，加强领导主要是加强政治思想和组织方面的领导，也就是要通过加强领导，保证艺术创作的政治方向的正确和思想倾向的健康，保证艺术创作队伍的团结和有战斗力。
0	 ADV	 16	 第三	 m
1	 WP	 16	 、	 wp
2	 ADV	 16	 正确	 a
3	 COO	 2	 处理	 v
4	 ATT	 10	 加强	 v
5	 VOB	 4	 领导	 v
6	 ADV	 8	 与	 p
7	 POB	 6	 具体	 a
8	 COO	 4	 服务	 v
9	 RAD	 4	 的	 u
10	 VOB	 3	 关系	 n
11	 ADV	 16	 从	 p
12	 ATT	 14	 宏观	 n
13	 RAD	 12	 的	 u
14	 ATT	 15	 意义	 n
15	 POB	 11	 上	 nd
16	 HED	 -1	 说	 v
17	 WP	 16	 ，	 wp
18	 SBV	 21	 加强	 v
19	 VOB	 18	 领导	 v
20	 ADV	 21	 主要	 d
21	 VOB	 16	 是	 v
22	 VOB	 21	 加强	 v
23	 ATT	 24	 政治	 n
24	 ATT	 29	 思想	 n
25	 LAD	 27	 和	 c
26	 ATT	 27	 组织	 n
27	 COO	 24	 方面	 n
28	 RAD	 24	 的	 u
29	 VOB	 22	 领导	 v
30	 WP	 22	 ，	 wp
31	 ADV	 33	 也	 d
32	 ADV	 33	 就是	 v
33	 ADV	 38	 要	 v
34	 ADV	 38	 通过	 p
35	 POB	 34	 加强	 v
36	 VOB	 35	 领导	 v
37	 WP	 34	 ，	 wp
38	 COO	 22	 保证	 v
39	 SBV	 40	 艺术	 n
40	 ATT	 43	 创作	 v
41	 RAD	 40	 的	 u
42	 ATT	 43	 政治	 n
43	 ATT	 45	 方向	 n
44	 RAD	 43	 的	 u
45	 VOB	 38	 正确	 a
46	 LAD	 50	 和	 c
47	 ATT	 48	 思想	 n
48	 ATT	 50	 倾向	 n
49	 RAD	 48	 的	 u
50	 COO	 45	 健康	 a
51	 WP	 22	 ，	 wp
52	 COO	 22	 保证	 v
53	 SBV	 54	 艺术	 n
54	 ATT	 55	 创作	 v
55	 ATT	 57	 队伍	 n
56	 RAD	 55	 的	 u
57	 VOB	 52	 团结	 a
58	 LAD	 59	 和	 c
59	 COO	 57	 有	 v
60	 VOB	 59	 战斗力	 n
61	 WP	 16	 。	 wp

这是我们实施精品战略，抓好艺术精品创作的基础和前提。
0	 SBV	 1	 这	 r
1	 HED	 -1	 是	 v
2	 SBV	 3	 我们	 r
3	 VOB	 1	 实施	 v
4	 ATT	 5	 精品	 n
5	 VOB	 3	 战略	 n
6	 WP	 3	 ，	 wp
7	 COO	 3	 抓好	 v
8	 ATT	 9	 艺术	 n
9	 SBV	 10	 精品	 n
10	 ATT	 12	 创作	 v
11	 RAD	 10	 的	 u
12	 VOB	 7	 基础	 n
13	 LAD	 14	 和	 c
14	 COO	 12	 前提	 n
15	 WP	 1	 。	 wp

但是，由于艺术作品“是艺术家充满激情的个人创造”，是一种复杂的精神劳动，所以，只有宏观上的加强领导是不够的，还必须做好具体细致的服务工作。
0	 ADV	 15	 但是	 c
1	 WP	 0	 ，	 wp
2	 ADV	 15	 由于	 p
3	 ATT	 4	 艺术	 n
4	 SBV	 6	 作品	 n
5	 WP	 6	 “	 wp
6	 POB	 2	 是	 v
7	 SBV	 8	 艺术家	 n
8	 ATT	 11	 充满	 v
9	 VOB	 8	 激情	 n
10	 RAD	 8	 的	 u
11	 SBV	 12	 个人	 n
12	 VOB	 6	 创造	 v
13	 WP	 12	 ”	 wp
14	 WP	 2	 ，	 wp
15	 HED	 -1	 是	 v
16	 ATT	 17	 一	 m
17	 ATT	 20	 种	 q
18	 ATT	 20	 复杂	 a
19	 RAD	 18	 的	 u
20	 ATT	 21	 精神	 n
21	 VOB	 15	 劳动	 v
22	 WP	 15	 ，	 wp
23	 ADV	 29	 所以	 c
24	 WP	 23	 ，	 wp
25	 ADV	 29	 只有	 c
26	 ATT	 27	 宏观	 n
27	 ATT	 29	 上	 nd
28	 RAD	 27	 的	 u
29	 COO	 15	 加强	 v
30	 SBV	 31	 领导	 v
31	 VOB	 29	 是	 v
32	 VOB	 31	 不够	 a
33	 RAD	 32	 的	 u
34	 WP	 29	 ，	 wp
35	 ADV	 37	 还	 d
